mode,prompt_type,id_,p1_sim_score,p2_sim_score,detected_gen
medium,action+expression,13,0.9346294,0.8935978,2
medium,action+expression,14,0.96947014,0.9889311,2
medium,action+expression,15,0.97120494,0.9901791,2
medium,action+expression,16,0.98290056,0.98444456,2
medium,action+expression,17,0.9778682,0.99258965,2
medium,action+expression,18,0.93541753,0.9765651,3
medium,action+expression,19,0.96178305,0.97308004,2
medium,action+expression,20,0.970428,,1
medium,action+expression,21,0.9835379,0.95316803,2
medium,action+expression,22,0.96414155,0.93490696,2
medium,action+expression,23,0.9754474,0.43626887,2
medium,action+expression,24,0.9506265,0.95292306,4
medium,action+expression,25,0.9817351,,1
medium,action+expression,26,0.98446035,0.96929455,2
medium,action+expression,27,0.8274461,0.9759341,2
medium,action+expression,28,0.95968586,,1
medium,action+expression,29,0.9811912,0.96450055,2
medium,action+expression,30,0.98087597,0.9822574,2
medium,action+expression,31,0.95803463,0.9719597,2
medium,action+expression,32,0.9757814,,1
medium,action+expression,33,0.9365655,,1
medium,action+expression,34,0.98332345,0.9632407,2
medium,action+expression,35,0.97403467,0.9510446,2
medium,action+expression,36,0.9719101,,1
medium,action+expression,37,0.98585486,0.94446015,2
medium,action+expression,38,0.9837505,0.9865907,2
medium,action+expression,39,0.97599125,0.9708951,2
medium,action+expression,40,0.91369283,0.90562844,2
medium,action+expression,41,0.9296423,,1
medium,action+expression,42,0.97057515,0.9715509,2
medium,action+expression,43,0.95347667,0.96997595,2
medium,action+expression,44,0.9593037,,1
medium,action+expression,45,0.93828744,,1
medium,action+expression,46,0.9607632,,1
medium,action+expression,47,0.95831376,,1
medium,action+expression,48,0.9605838,,1
medium,action+expression,49,0.9876554,0.80169296,2
medium,action+expression,50,0.9761969,0.950704,2
medium,action+expression,51,0.9726386,0.97257537,2
medium,action+background,0,0.9674494,0.9746732,2
medium,action+background,1,0.95327187,0.98343945,2
medium,action+background,2,0.98252404,,1
medium,action+background,3,0.9820587,,1
medium,action+background,4,0.98880124,,1
medium,action+background,5,0.9747485,,1
medium,action+background,6,0.9604703,0.938002,2
medium,action+background,7,0.9433467,0.9711284,2
medium,action+background,8,0.9612619,,1
medium,action+background,9,0.9741829,0.81772774,3
medium,action+background,10,0.9844845,,1
medium,action+background,11,0.870057,0.98308134,2
medium,action+background,12,0.9818933,0.9536887,2
medium,action+background,13,0.9867663,0.9578097,2
medium,action+background,14,0.96572274,,1
medium,action+background,15,0.97635674,,1
medium,action+background,16,0.9635997,0.9865456,2
medium,action+background,17,0.97231585,0.99073505,2
medium,action+background,18,0.9866797,0.97699267,2
medium,action+background,19,0.9791143,0.96912605,2
medium,action+background,20,0.9541356,0.9602317,3
medium,action+background,21,0.9609059,0.9353427,2
medium,action+background,22,0.97043836,,1
medium,action+background,23,0.9764055,,1
medium,action+background,24,0.9862878,,1
medium,action+background,25,0.9829521,0.84245676,2
medium,action+background,26,0.9854331,0.9681034,3
medium,action+background,27,0.9623232,0.979079,2
medium,action+background,28,0.9529696,0.9624413,3
medium,action+background,29,0.9483118,,1
medium,action+background,30,0.9736331,0.98327154,3
medium,action+background,31,0.97874516,0.9819325,2
medium,action+background,32,0.95853287,0.9820867,2
medium,action+background,33,0.96018827,0.98986095,2
medium,action+background,34,0.9399349,0.9540421,2
medium,action+background,35,0.9707255,0.9507241,2
medium,action+background,36,0.97297955,,1
medium,action+background,37,0.96539223,0.9636096,2
medium,action+background,38,0.9828614,0.94598705,2
medium,action+background,39,0.97033966,0.95945776,2
medium,action+background,40,0.8767017,0.9036428,2
medium,action+background,41,0.96279556,,1
medium,action+background,42,0.96401364,0.9020138,2
medium,action+background,43,0.968178,,1
medium,action+background,44,0.97721475,0.9646881,3
medium,action+background,45,0.97843564,,1
medium,action+background,46,0.9724653,,1
medium,action+background,47,0.94494116,0.8959663,2
medium,action+background,48,0.9820598,,1
medium,action+background,49,0.9755815,0.9433138,2
medium,action+background,50,0.99212074,0.9860578,2
medium,action+background,51,0.9636802,0.95790976,4
medium,all,0,0.98015034,,1
medium,all,1,0.96591014,0.9847301,2
medium,all,2,0.9751205,0.9554563,2
medium,all,3,0.9606301,0.90777403,2
medium,all,4,0.9750384,0.9822298,2
medium,all,5,0.98502153,,1
medium,all,6,0.9714225,0.9814376,2
medium,all,7,0.9603299,,1
medium,all,8,0.96548736,,1
medium,all,9,0.9499426,,1
medium,all,10,0.9740903,0.9843094,2
medium,all,11,0.97194326,,1
medium,all,12,0.9857127,0.9517781,2
medium,all,13,0.9596187,0.9764229,2
medium,all,14,0.98438805,,1
medium,all,15,0.94262,,1
medium,all,16,0.9849317,0.94261694,2
medium,all,17,0.94630504,0.9910914,9
medium,all,18,0.967027,0.94361985,3
medium,all,19,0.97775215,0.9859032,3
medium,all,20,0.9563438,0.97125626,3
medium,all,21,0.9719647,0.981482,3
medium,all,22,0.9536778,,1
medium,all,23,0.94462454,0.9446868,2
medium,all,24,0.9747362,0.9865182,2
medium,all,25,0.97232497,,1
medium,all,26,0.97985506,0.97385573,2
medium,all,27,0.9489289,0.9746002,2
medium,all,28,0.9637058,,1
medium,all,29,0.96554637,,1
medium,all,30,0.95253325,,1
medium,all,31,0.9734981,0.9081199,2
medium,all,32,0.95096165,,1
medium,all,33,0.93898743,0.9864272,2
medium,all,34,0.9815112,0.97161055,2
medium,all,35,0.96832734,0.9844647,3
medium,all,36,0.94343054,,1
medium,all,37,0.9860251,0.9427895,2
medium,all,38,0.9774431,0.98505807,2
medium,all,39,0.908544,,1
medium,all,40,0.95692253,,1
medium,all,41,0.8796608,0.8684939,2
medium,all,42,0.9752654,0.91149426,2
medium,all,43,0.9493726,,1
medium,all,44,0.9397098,,1
medium,all,45,0.9464973,,1
medium,all,46,0.9451788,,1
medium,all,47,0.9650159,,1
medium,all,48,0.8580576,,1
medium,all,49,0.9721358,,1
medium,all,50,0.97382945,0.9728455,2
medium,all,51,0.9813192,0.9848697,2
hard,simple,0,0.97547406,0.97969174,2
hard,simple,1,0.97547406,0.97969174,2
hard,simple,2,0.97115415,0.93379515,3
hard,simple,3,0.97115415,0.93379515,3
hard,simple,4,0.9697286,0.970655,2
hard,simple,5,0.9697286,0.970655,2
hard,simple,6,0.93121576,0.9748901,2
hard,simple,7,0.93121576,0.9748901,2
hard,simple,8,0.95343655,0.9775209,2
hard,simple,9,0.95343655,0.9775209,2
hard,simple,10,0.9711769,0.9721639,3
hard,simple,11,0.9711769,0.9721639,3
hard,simple,12,0.9694507,0.96710575,2
hard,simple,13,0.9694507,0.96710575,2
hard,simple,14,0.97487414,0.98146975,3
hard,simple,15,0.97487414,0.98146975,3
hard,simple,16,0.9688876,0.955225,2
hard,simple,17,0.9688876,0.955225,2
hard,simple,18,0.9832835,0.96619064,3
hard,simple,19,0.9832835,0.96619064,3
hard,simple,20,0.96933144,0.945869,2
hard,simple,21,0.96933144,0.945869,2
hard,simple,22,0.97368723,0.969972,2
hard,simple,23,0.97368723,0.969972,2
hard,simple,24,0.9840735,0.9728619,4
hard,simple,25,0.9840735,0.9728619,4
hard,simple,26,0.9565181,0.9326736,2
hard,simple,27,0.9565181,0.9326736,2
hard,simple,28,0.9612463,0.89726496,2
hard,simple,29,0.9612463,0.89726496,2
hard,simple,30,0.97777164,0.9561809,3
hard,simple,31,0.97777164,0.9561809,3
hard,simple,32,0.9681016,0.9551325,2
hard,simple,33,0.9681016,0.9551325,2
hard,simple,34,0.96754175,0.93884826,2
hard,simple,35,0.96754175,0.93884826,2
hard,simple,36,0.9252384,0.97894335,2
hard,simple,37,0.9252384,0.97894335,2
