method,mode,prompt_type,id_,01,02,03,04,05,06,07,08,09,10,11,12
01_CustomDiffusion,medium,action+background,31,1.0,1.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0
01_CustomDiffusion,medium,action+background,33,2.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,6.0,1.0,3.0
01_CustomDiffusion,medium,action+background,44,4.0,2.0,1.0,2.0,4.0,6.0,4.0,4.0,9.0,5.0,2.0,6.0
01_CustomDiffusion,medium,action+background,46,3.0,2.0,2.0,2.0,4.0,5.0,6.0,1.0,7.0,6.0,2.0,5.0
01_CustomDiffusion,medium,action+background,48,1.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0
01_CustomDiffusion,medium,action+expression,22,3.0,3.0,1.0,2.0,3.0,7.0,2.0,1.0,6.0,7.0,2.0,5.0
01_CustomDiffusion,medium,action+expression,29,3.0,2.0,1.0,2.0,4.0,4.0,5.0,1.0,6.0,4.0,2.0,5.0
01_CustomDiffusion,medium,action+expression,32,3.0,2.0,2.0,2.0,5.0,6.0,4.0,1.0,8.0,4.0,2.0,5.0
01_CustomDiffusion,medium,action+expression,38,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0
01_CustomDiffusion,medium,action+expression,4,3.0,2.0,2.0,2.0,3.0,6.0,6.0,6.0,7.0,7.0,1.0,5.0
01_CustomDiffusion,medium,action+expression,45,2.0,2.0,1.0,2.0,4.0,5.0,3.0,3.0,5.0,4.0,2.0,4.0
01_CustomDiffusion,medium,action+expression,8,2.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,7.0,4.0,1.0,5.0
01_CustomDiffusion,medium,action+expression,9,3.0,2.0,3.0,3.0,4.0,6.0,6.0,6.0,8.0,6.0,2.0,5.0
01_CustomDiffusion,medium,action+layout,0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,4.0,6.0,1.0,3.0
01_CustomDiffusion,medium,action+layout,14,3.0,2.0,3.0,2.0,4.0,6.0,8.0,5.0,9.0,7.0,2.0,4.0
01_CustomDiffusion,medium,action+layout,18,1.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,1.0,5.0,1.0,2.0
01_CustomDiffusion,medium,action+layout,19,2.0,2.0,1.0,3.0,3.0,6.0,2.0,2.0,3.0,4.0,1.0,4.0
01_CustomDiffusion,medium,action+layout,40,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,4.0,1.0,3.0
01_CustomDiffusion,medium,action+layout,47,2.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,5.0,3.0,1.0,5.0
01_CustomDiffusion,medium,action+layout,49,3.0,2.0,1.0,2.0,3.0,7.0,6.0,3.0,4.0,4.0,1.0,3.0
01_CustomDiffusion,medium,action+layout,7,2.0,2.0,4.0,2.0,2.0,6.0,8.0,8.0,8.0,6.0,2.0,6.0
01_CustomDiffusion,medium,all,1,3.0,3.0,1.0,2.0,3.0,8.0,4.0,6.0,10.0,10.0,2.0,5.0
01_CustomDiffusion,medium,all,11,2.0,4.0,3.0,2.0,3.0,5.0,3.0,2.0,6.0,5.0,3.0,5.0
01_CustomDiffusion,medium,all,13,3.0,2.0,1.0,2.0,4.0,4.0,2.0,5.0,8.0,4.0,2.0,5.0
01_CustomDiffusion,medium,all,16,3.0,2.0,2.0,2.0,3.0,5.0,1.0,2.0,6.0,4.0,2.0,4.0
01_CustomDiffusion,medium,all,20,3.0,3.0,1.0,3.0,6.0,7.0,8.0,5.0,5.0,7.0,3.0,7.0
01_CustomDiffusion,medium,all,27,2.0,3.0,1.0,3.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0
01_CustomDiffusion,medium,all,36,2.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,5.0,4.0,1.0,4.0
01_CustomDiffusion,medium,all,51,2.0,2.0,1.0,4.0,3.0,5.0,1.0,4.0,4.0,6.0,2.0,6.0
01_CustomDiffusion,medium,simple,12,2.0,1.0,1.0,1.0,3.0,6.0,6.0,5.0,8.0,3.0,1.0,4.0
01_CustomDiffusion,medium,simple,23,2.0,2.0,2.0,1.0,3.0,5.0,2.0,3.0,6.0,5.0,1.0,5.0
01_CustomDiffusion,medium,simple,25,2.0,1.0,1.0,1.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0
01_CustomDiffusion,medium,simple,28,1.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,3.0,2.0,1.0,4.0
01_CustomDiffusion,medium,simple,37,2.0,3.0,1.0,1.0,3.0,5.0,4.0,1.0,5.0,4.0,2.0,5.0
01_CustomDiffusion,medium,simple,39,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0
01_CustomDiffusion,medium,simple,42,3.0,1.0,1.0,2.0,3.0,6.0,2.0,3.0,8.0,5.0,3.0,5.0
01_CustomDiffusion,medium,simple,43,4.0,4.0,1.0,2.0,3.0,7.0,4.0,4.0,8.0,4.0,2.0,6.0
02_OMG_lora,easy,action+background,1,10.0,6.0,7.0,5.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,10.0
02_OMG_lora,easy,action+background,11,6.0,8.0,6.0,5.0,7.0,7.0,10.0,7.0,8.0,8.0,6.0,5.0
02_OMG_lora,easy,action+background,19,5.0,5.0,6.0,4.0,8.0,8.0,10.0,4.0,10.0,9.0,7.0,6.0
